split,window_id,E,log10E,branch_local_id,center_pred_s,center_true_s,window_half_width,baseline_mae,baseline_rmse
train,407,0.0282,-1.5497509,2,0.06,0.06,0.16,0.036578953,0.03816316
train,408,0.0284,-1.5466816,0,0.02,0.02,0.16,0.013902155,0.016730353
train,409,0.0284,-1.5466816,1,0.01,0.09,0.16,0.02488962,0.025942752
train,410,0.0284,-1.5466816,2,0.06,0.06,0.16,0.028722396,0.02953095
train,411,0.0286,-1.5436339,0,0.02,0.02,0.16,0.014041844,0.016932003
train,412,0.0286,-1.5436339,1,0.0,0.09,0.16,0.029063653,0.03135783
train,413,0.0286,-1.5436339,2,0.07,0.08,0.16,0.043033898,0.04685106
train,414,0.029,-1.537602,0,0.02,0.02,0.16,0.013928266,0.016803984
train,415,0.029,-1.537602,1,0.01,0.0,0.16,0.033616226,0.03794059
train,416,0.029,-1.537602,2,0.05,0.07,0.16,0.034548547,0.036094557
train,417,0.0293,-1.5331324,0,0.02,0.02,0.16,0.013125746,0.015608286
train,418,0.0293,-1.5331324,1,0.0,0.09,0.16,0.048622053,0.054418575
train,419,0.0293,-1.5331324,2,0.09,0.09,0.16,0.03752167,0.039412767
train,420,0.0297,-1.5272435,0,0.02,0.02,0.16,0.01579172,0.019223772
train,421,0.0297,-1.5272435,1,0.01,0.08,0.16,0.05955702,0.06771104
train,422,0.03,-1.5228788,0,0.02,0.02,0.16,0.015842492,0.019311646
train,423,0.03,-1.5228788,1,0.01,0.08,0.16,0.03457832,0.038188443
train,424,0.0301,-1.5214335,0,0.02,0.02,0.16,0.015827838,0.019295454
train,425,0.0301,-1.5214335,1,0.01,0.08,0.16,0.029992089,0.03601267
train,426,0.0303,-1.5185574,0,0.02,0.02,0.16,0.015783144,0.019247226
train,427,0.0303,-1.5185574,1,0.01,0.0,0.16,0.03798785,0.042036187
train,428,0.0306,-1.5142785,0,0.02,0.02,0.16,0.014020343,0.016918803
train,429,0.0306,-1.5142785,1,0.01,0.81,0.16,0.06187421,0.06583195
train,430,0.0308,-1.5114493,0,0.02,0.02,0.16,0.01563301,0.01895423
train,431,0.0308,-1.5114493,1,0.01,0.81,0.16,0.07745882,0.08011591
train,432,0.0329,-1.4828041,0,0.02,0.02,0.16,0.014436065,0.01727326
train,433,0.0329,-1.4828041,1,0.02,0.94,0.16,0.055370558,0.062426057
train,434,0.0329,-1.4828041,2,0.23,0.04,0.16,0.037942037,0.045146313
train,435,0.0357,-1.4473318,0,0.02,0.02,0.16,0.01366701,0.016266335
train,436,0.0357,-1.4473318,1,0.08,0.87,0.16,0.015645128,0.01981019
train,437,0.0357,-1.4473318,2,0.01,0.17,0.16,0.0628149,0.06522768
train,438,0.0371,-1.430626,0,0.01,0.02,0.16,0.014760666,0.015853046
train,439,0.0386,-1.4134127,0,0.01,0.02,0.16,0.014388867,0.015720211
train,440,0.04,-1.39794,0,0.01,0.02,0.16,0.014449656,0.015876053
train,441,0.0414,-1.3829997,0,0.01,0.02,0.16,0.01418118,0.015639987
train,442,0.0429,-1.3675427,0,0.01,0.02,0.16,0.0143650845,0.015531067
train,443,0.0443,-1.3535963,0,0.01,0.02,0.16,0.016124533,0.016733631
train,444,0.0471,-1.326979,0,0.01,0.02,0.16,0.016280327,0.018112304
train,445,0.0486,-1.3133637,0,0.02,0.02,0.16,0.019747622,0.024450695
train,446,0.0486,-1.3133637,1,0.01,0.0,0.16,0.024081087,0.026127495
train,447,0.05,-1.30103,0,0.02,0.02,0.16,0.023796672,0.029982934
train,448,0.05,-1.30103,1,0.01,0.2,0.16,0.047028277,0.056884173
train,449,0.0514,-1.2890369,0,0.01,0.02,0.16,0.012142714,0.013234315
train,450,0.0529,-1.2765443,0,0.01,0.02,0.16,0.013172125,0.014360646
train,451,0.0543,-1.2652001,0,0.01,0.02,0.16,0.013403925,0.014570434
train,452,0.0571,-1.2433639,0,0.01,0.02,0.16,0.013743352,0.015036796
train,453,0.0586,-1.2321024,0,0.02,0.02,0.16,0.010866434,0.012486494
train,454,0.0586,-1.2321024,1,0.0,0.01,0.16,0.012710401,0.013706403
train,455,0.06,-1.2218487,0,0.02,0.02,0.16,0.01476721,0.01692692
train,456,0.06,-1.2218487,1,0.0,0.01,0.16,0.016582442,0.019380637
train,457,0.0614,-1.2118316,0,0.02,0.02,0.16,0.018918365,0.021302136
train,458,0.0614,-1.2118316,1,0.04,0.03,0.16,0.023006871,0.028053995
train,459,0.0643,-1.191789,0,0.01,0.02,0.16,0.011835277,0.013486665
train,460,0.0657,-1.1824347,0,0.01,0.02,0.16,0.012497869,0.014078785
train,461,0.0671,-1.1732775,0,0.01,0.02,0.16,0.013429156,0.014808119
train,462,0.0686,-1.1636759,0,0.01,0.02,0.16,0.0142335845,0.015562346
train,463,0.07,-1.154902,0,0.01,0.02,0.16,0.015056579,0.016367896
train,464,0.0743,-1.1290112,0,0.01,0.02,0.16,0.0152908955,0.017334646
train,465,0.0757,-1.1209041,0,0.01,0.02,0.16,0.015189839,0.017384024
train,466,0.0771,-1.1129457,0,0.01,0.02,0.16,0.015278994,0.01752756
train,467,0.0786,-1.1045774,0,0.01,0.02,0.16,0.01567895,0.017964479
train,468,0.08,-1.09691,0,0.01,0.02,0.16,0.015928676,0.018239476
train,469,0.0829,-1.0814455,0,0.01,0.02,0.16,0.01664665,0.019114109
train,470,0.0843,-1.0741724,0,0.01,0.02,0.16,0.016975043,0.019491067
train,471,0.0857,-1.0670192,0,0.01,0.02,0.16,0.017324537,0.019888494
train,472,0.0871,-1.0599818,0,0.01,0.02,0.16,0.01462171,0.016171116
train,473,0.0886,-1.0525663,0,0.01,0.02,0.16,0.014391566,0.016127234
train,474,0.09,-1.0457575,0,0.01,0.02,0.16,0.014067774,0.015971439
train,475,0.0929,-1.0319843,0,0.01,0.02,0.16,0.013669245,0.015841613
train,476,0.0957,-1.019088,0,0.01,0.02,0.16,0.013589335,0.015827576
train,477,0.0971,-1.0127808,0,0.01,0.02,0.16,0.013695575,0.015906967
