E,split,Ta_c_true,k_c_true,Ta_c_pred,k_c_pred,curve_MAPE,Ta_c_old,k_c_old,Ta_c_pchip,k_c_pchip
0.0019,train,171.2535,5.0,174.01118,4.454254918374769,0.9068563758599651,174.30360412597656,5.222400188446045,171.2535,5.0
0.002,val,170.1005,5.0,173.25009,4.468898706824064,0.9474507949970564,173.01673889160156,5.223999977111816,170.378854370445,4.948124608951192
0.0021,train,169.5361,4.9,172.9222,4.963630267759532,0.6399124636835276,172.4534912109375,5.190400123596191,169.53610000000003,4.9
0.0022,train,168.981,4.9,171.70905,4.918659059656585,0.8042777319653527,171.81228637695312,5.325999736785889,168.98099999999994,4.9
0.0023,val,168.436,4.9,171.45256,4.79209769926619,0.879841222130023,171.1888427734375,5.242000102996826,168.43482011661567,4.9
0.0024,train,167.9012,4.9,170.77596,4.760630978036632,0.7664247156918148,170.4022979736328,4.957600116729736,167.9012,4.9
0.0025,train,167.3762,4.9,170.34053,4.717389703778768,0.7798770467518981,170.06222534179688,4.918800354003906,167.3762,4.9
0.0026,train,166.8611,4.9,169.89476,4.661576571977264,0.6926268042029328,169.5186309814453,4.84119987487793,166.86109999999996,4.9
0.0027,train,166.3556,4.9,169.45473,5.147508803837178,0.8440872191288689,168.88111877441406,5.035200119018555,166.35559999999998,4.9
0.0028,train,165.3732,4.9,168.41093,5.083463959049932,0.8693743781041742,167.8232879638672,5.13599967956543,165.37319999999997,4.9
0.0029,train,164.896,4.9,167.76448,4.998258473683908,0.6655614245742726,167.36541748046875,5.0920000076293945,164.89600000000007,4.9
0.003,train,164.4279,4.9,167.68513,4.384574828614822,0.8422973951515809,166.91949462890625,5.011199951171875,164.42790000000002,4.9
0.0031,train,163.9689,4.9,167.54776,4.438080485639687,0.9855741212367144,166.38522338867188,4.960000038146973,163.96890000000002,4.9
0.0032,train,163.5188,4.9,167.58676,4.42,1.967172227815388,166.17726135253906,5.022799968719482,163.51879999999994,4.9
0.0033,train,163.0775,4.9,167.93748,4.382,1.2776303021835431,166.84716796875,4.800000190734863,163.0775,4.9
0.0034,test,162.6449,4.9,167.51169,5.18,1.7818924109597316,166.21336364746094,5.179999828338623,162.65950984271635,4.9
0.0035,train,162.2208,4.9,165.88368,4.42,1.2491384662085012,165.39492797851562,5.179999828338623,162.22080000000003,4.9
0.0036,val,161.3909,4.8,165.35817,4.42,1.5499143741083363,164.12745666503906,4.800000190734863,161.67932650281307,4.872836491482379
0.0037,test,160.9842,4.8,165.36559,4.42,1.2314099529667883,163.7042999267578,4.800000190734863,161.0956944648333,4.824727281944061
0.0038,train,160.5855,4.8,165.84657,5.18,1.450806931743822,163.50123596191406,4.800000190734863,160.5855,4.8
0.0039,train,160.1946,4.8,163.67993,4.76,1.1588707843245327,164.0056610107422,5.179999828338623,160.19460000000007,4.8
0.004,train,159.8115,4.8,164.49171,4.42,1.241509817408757,162.6006622314453,4.616000175476074,159.81150000000005,4.8
0.0041,train,159.4359,4.8,163.10378,4.42,1.12166069263217,162.44024658203125,4.800000190734863,159.43589999999995,4.8
0.0042,train,159.0679,4.8,163.01436,4.42,1.2027857901055492,161.9581298828125,4.800000190734863,159.06789999999998,4.8
0.0043,train,158.7072,4.8,163.36336,4.42,1.39287477257457,161.40252685546875,4.800000190734863,158.7072,4.8
0.0044,val,158.0075,4.8,160.39455,4.572,0.9279280117306644,160.87156677246094,4.6479997634887695,158.1797856058921,4.8
0.0045,train,157.6682,4.8,159.69997,4.404,0.5646350674760285,159.69544982910156,4.739200115203857,157.66820000000007,4.8
