E,branch_local_id,n_points,n_points_branch_meta,k_left,k_right,width_k,k_min,Ta_min,Ta_max,Ta_mean,Ta_std,amplitude,Ta_left,Ta_right,left_width,right_width,left_rise,right_rise,width_asymmetry,rise_asymmetry,slope_left_local,slope_right_local,global_slope,mean_abs_slope,max_abs_slope,mean_curvature,mean_abs_curvature,curvature_at_min,convexity_ratio,area_above_min,roughness_rmse,arc_length,normalized_arc_length,has_switch_left,has_switch_right
0.0016,1,64,,13.7,20.0,6.300000000000001,14.1,313.0309,383.4833,346.1680703125,23.079115191253543,70.45240000000001,316.8246,379.2335,0.40000000000000036,5.9,3.793700000000001,66.20260000000002,0.8730158730158729,0.885830716909573,-6.371299999999921,2.315299999999857,11.75305139652016,17.295921874999877,117.44349999999827,5.8129296874987295,47.6663671874992,27.662500000001373,0.5803358139542892,208.57807500000015,8.738745196183972,127.33436789531021,20.211804427827015,,
0.0017,0,123,,1.0,13.2,12.2,5.0,172.45,512.2614,232.9939829268292,62.73518212879276,339.8114,512.2614,314.5272,4.0,8.2,339.8114,142.0772,0.34426229508196715,-0.5818939564711484,-1.2859999999999787,1.7673999999999987,1.5369615186183476,47.08839430894311,445.42299999999915,-4.065304878049201,100.51083333333366,10.16500000000125,0.10113337699917471,720.5965600000001,201.0465269885133,557.3567568145484,45.684980066766265,,
0.0017,1,69,,13.2,20.0,6.800000000000001,13.8,304.0795,376.457,337.2712304347825,23.428621623358964,72.3775,314.5272,372.2797,0.6000000000000014,6.199999999999999,10.447699999999998,68.2002,0.8235294117647055,0.7979344409519533,-5.321799999999679,2.3940999999998365,10.971183631713556,18.535384057970905,133.01249999999595,10.119818840579896,54.73242753623174,24.725000000000637,0.4517431642079679,225.09054500000002,11.550313850503052,137.35631503248942,20.19945809301315,,
0.0018,0,120,,1.0,12.9,11.9,5.0,171.8462,510.068,230.75879416666666,62.31101436005287,338.2218,510.068,305.6783,4.0,7.9,338.2218,133.83209999999997,0.3277310924369748,-0.6043067005142779,-1.237999999999922,1.8046999999999698,0.8673792728661883,47.888787500000035,443.4759999999996,-3.00872916666641,100.64435416666635,10.129999999998667,0.10065144819970187,683.348435,197.8621998334478,547.2601220066522,45.98824554677749,,
0.0018,1,72,,12.9,20.0,7.1,13.5,295.9188,368.2365,329.4590097222222,23.519993229875258,72.3177,305.6783,365.745,0.5999999999999996,6.5,9.759500000000003,69.82620000000003,0.8309859154929579,0.8305947230069544,-5.44920000000039,1.9776000000005354,10.54866147340665,18.223048611111004,138.14499999999566,8.932777777779231,53.260555555555015,23.875000000002814,0.44826794897209216,237.5102250000002,11.424278406109298,139.45137102094063,19.64103817196347,,
0.0019,0,117,,1.0,12.6,11.6,5.0,171.2535,507.9017,228.5562264957265,61.91446271024808,336.6482,507.9017,299.0342,4.0,7.6,336.6482,127.7807,0.31034482758620685,-0.620432546498095,-1.1886999999998105,1.843300000000169,0.1393588020201258,48.42150854700856,441.55099999999965,-2.8482905982910065,102.54927350427381,10.092500000000122,0.09841610432841838,647.2204549999999,195.40446872195753,539.009538335321,46.46633951166561,,
0.0019,1,75,,12.6,20.0,7.4,13.3,288.3988,359.5405,322.00152399999996,23.428293779558313,71.14170000000001,299.0342,359.5405,0.7000000000000011,6.699999999999999,10.635400000000004,71.14170000000001,0.8108108108108105,0.8505039941412701,-3.2646999999998565,2.7894999999998884,10.103136899004275,17.69744666666681,135.77400000000512,8.950233333333445,50.6007666666671,19.63500000000167,0.38803759890334016,247.93157500000004,11.873517344318929,141.43102465801192,19.11230062946107,,
0.002,0,111,,1.0,12.0,11.0,5.0,170.1005,503.6484,224.21537567567566,61.17098297160126,333.54789999999997,503.6484,293.288,4.0,7.0,333.54789999999997,123.1875,0.2727272727272727,-0.6306752343516479,-1.086999999999864,1.9259999999999524,-1.533208511758501,47.358229729729736,437.77199999999954,9.032229729729266,93.40484234234259,10.029999999998758,0.10738201305706745,577.83835,193.0247634198191,507.84638989779205,46.167853627072006,,
0.002,1,81,,12.0,20.0,8.0,12.8,275.056,347.8743,308.4665333333333,23.184230463430993,72.81830000000002,293.288,347.8743,0.8000000000000007,7.199999999999999,18.232000000000028,72.81830000000002,0.7999999999999998,0.7496233776399611,-3.9995999999998313,1.8631000000002105,9.223359168925017,18.412450617283895,142.0019999999954,13.332623456791374,62.42268518518472,19.047500000001357,0.3051374663472832,266.07280500000013,15.833858951203315,159.7202239762509,19.965027997031363,,
0.0021,0,109,,1.0,11.8,10.8,4.9,169.5361,501.5602,222.9127825688073,61.22817431174717,332.0241,501.5602,284.1786,3.9000000000000004,6.9,332.0241,114.64250000000001,0.27777777777777773,-0.6547163293266964,-2.1501999999998422,1.0220999999999425,-1.9729704568622075,49.92225688073383,435.91499999999957,-6.235986238531149,113.78428899082478,10.562499999999192,0.09282916027933276,559.4725100000002,189.36385113119354,523.1441759372628,48.439275549746554,,
